Name,Account_Number__c,Usage_Date__c,Active_Users__c,Api_Calls__c,Failed_Api_Calls__c,Key_Feature_Events__c
RR-0007-2026-08-05,RR-0007,2026-08-05,139,5977,13,1390
RR-0007-2026-08-06,RR-0007,2026-08-06,199,9154,21,995
RR-0007-2026-08-07,RR-0007,2026-08-07,193,7141,13,1544
RR-0007-2026-08-08,RR-0007,2026-08-08,189,9828,24,1701
RR-0007-2026-08-09,RR-0007,2026-08-09,74,3330,10,740
RR-0007-2026-08-10,RR-0007,2026-08-10,168,5208,17,336
RR-0007-2026-08-11,RR-0007,2026-08-11,160,6240,0,960
RR-0007-2026-08-12,RR-0007,2026-08-12,124,5084,16,868
RR-0007-2026-08-13,RR-0007,2026-08-13,142,6106,7,284
RR-0007-2026-08-14,RR-0007,2026-08-14,201,6231,14,1005
RR-0007-2026-08-15,RR-0007,2026-08-15,33,1584,0,297
RR-0007-2026-08-16,RR-0007,2026-08-16,24,1104,3,72
RR-0007-2026-08-17,RR-0007,2026-08-17,31,2418,4,186
RR-0007-2026-08-18,RR-0007,2026-08-18,145,11600,1,435
RR-0007-2026-08-19,RR-0007,2026-08-19,149,8195,10,298
RR-0007-2026-08-20,RR-0007,2026-08-20,102,6528,11,408
RR-0007-2026-08-21,RR-0007,2026-08-21,42,1680,2,210
RR-0007-2026-08-22,RR-0007,2026-08-22,29,754,0,232
RR-0007-2026-08-23,RR-0007,2026-08-23,32,2080,0,128
RR-0007-2026-08-24,RR-0007,2026-08-24,218,5668,27,654
RR-0007-2026-08-25,RR-0007,2026-08-25,81,4374,10,486
RR-0007-2026-08-26,RR-0007,2026-08-26,118,7080,10,708
RR-0007-2026-08-27,RR-0007,2026-08-27,142,10224,6,1420
RR-0007-2026-08-28,RR-0007,2026-08-28,5,255,0,10
RR-0007-2026-08-29,RR-0007,2026-08-29,78,2496,2,234
RR-0007-2026-08-30,RR-0007,2026-08-30,191,7258,6,955
RR-0007-2026-08-31,RR-0007,2026-08-31,161,7567,23,483
RR-0007-2026-09-01,RR-0007,2026-09-01,24,1272,0,240
RR-0007-2026-09-02,RR-0007,2026-09-02,62,4712,7,186
RR-0007-2026-09-03,RR-0007,2026-09-03,151,4530,12,1057
RR-0008-2026-08-05,RR-0008,2026-08-05,255,13770,1,510
RR-0008-2026-08-06,RR-0008,2026-08-06,81,3321,5,324
RR-0008-2026-08-07,RR-0008,2026-08-07,205,7585,0,615
RR-0008-2026-08-08,RR-0008,2026-08-08,80,6160,1,160
RR-0008-2026-08-09,RR-0008,2026-08-09,89,4806,6,890
RR-0008-2026-08-10,RR-0008,2026-08-10,257,12079,36,771
RR-0008-2026-08-11,RR-0008,2026-08-11,211,11605,3,2110
RR-0008-2026-08-12,RR-0008,2026-08-12,57,3705,2,399
RR-0008-2026-08-13,RR-0008,2026-08-13,242,7018,28,726
RR-0008-2026-08-14,RR-0008,2026-08-14,98,3136,1,392
RR-0008-2026-08-15,RR-0008,2026-08-15,53,2915,4,530
RR-0008-2026-08-16,RR-0008,2026-08-16,173,6747,13,346
RR-0008-2026-08-17,RR-0008,2026-08-17,142,4686,13,568
RR-0008-2026-08-18,RR-0008,2026-08-18,208,14768,20,832
RR-0008-2026-08-19,RR-0008,2026-08-19,248,10416,0,2480
RR-0008-2026-08-20,RR-0008,2026-08-20,101,2727,5,404
RR-0008-2026-08-21,RR-0008,2026-08-21,232,6728,23,1624
RR-0008-2026-08-22,RR-0008,2026-08-22,79,5688,6,316
RR-0008-2026-08-23,RR-0008,2026-08-23,192,10176,1,1536
RR-0008-2026-08-24,RR-0008,2026-08-24,129,3354,4,387
RR-0008-2026-08-25,RR-0008,2026-08-25,83,2075,7,249
RR-0008-2026-08-26,RR-0008,2026-08-26,76,3952,6,380
RR-0008-2026-08-27,RR-0008,2026-08-27,50,1450,0,300
RR-0008-2026-08-28,RR-0008,2026-08-28,240,17040,13,960
RR-0008-2026-08-29,RR-0008,2026-08-29,85,5015,5,510
RR-0008-2026-08-30,RR-0008,2026-08-30,117,6552,3,1053
RR-0008-2026-08-31,RR-0008,2026-08-31,259,10360,30,1813
RR-0008-2026-09-01,RR-0008,2026-09-01,102,7140,10,306
RR-0008-2026-09-02,RR-0008,2026-09-02,139,7784,15,1390
RR-0008-2026-09-03,RR-0008,2026-09-03,179,4475,24,1253
RR-0009-2026-08-05,RR-0009,2026-08-05,151,6493,17,1359
RR-0009-2026-08-06,RR-0009,2026-08-06,86,3010,7,774
RR-0009-2026-08-07,RR-0009,2026-08-07,72,2376,3,216
RR-0009-2026-08-08,RR-0009,2026-08-08,124,8680,8,744
RR-0009-2026-08-09,RR-0009,2026-08-09,246,9594,25,1722
RR-0009-2026-08-10,RR-0009,2026-08-10,248,17856,20,1736
RR-0009-2026-08-11,RR-0009,2026-08-11,122,5612,11,366
RR-0009-2026-08-12,RR-0009,2026-08-12,76,2280,9,684
RR-0009-2026-08-13,RR-0009,2026-08-13,212,12720,15,2120
RR-0009-2026-08-14,RR-0009,2026-08-14,130,3900,13,390
RR-0009-2026-08-15,RR-0009,2026-08-15,169,6084,7,1521
RR-0009-2026-08-16,RR-0009,2026-08-16,15,720,1,30
RR-0009-2026-08-17,RR-0009,2026-08-17,190,15010,8,950
RR-0009-2026-08-18,RR-0009,2026-08-18,176,4400,24,528
RR-0009-2026-08-19,RR-0009,2026-08-19,5,320,0,15
RR-0009-2026-08-20,RR-0009,2026-08-20,159,3975,15,477
RR-0009-2026-08-21,RR-0009,2026-08-21,197,9259,17,394
RR-0009-2026-08-22,RR-0009,2026-08-22,229,11450,16,1832
RR-0009-2026-08-23,RR-0009,2026-08-23,46,2806,2,184
RR-0009-2026-08-24,RR-0009,2026-08-24,72,3024,5,360
RR-0009-2026-08-25,RR-0009,2026-08-25,72,4536,1,576
RR-0009-2026-08-26,RR-0009,2026-08-26,23,1311,2,138
RR-0009-2026-08-27,RR-0009,2026-08-27,194,14356,3,388
RR-0009-2026-08-28,RR-0009,2026-08-28,141,5922,15,1269
RR-0009-2026-08-29,RR-0009,2026-08-29,202,6868,15,808
RR-0009-2026-08-30,RR-0009,2026-08-30,119,9282,2,476
RR-0009-2026-08-31,RR-0009,2026-08-31,16,768,1,144
RR-0009-2026-09-01,RR-0009,2026-09-01,176,7568,15,528
RR-0009-2026-09-02,RR-0009,2026-09-02,93,2790,4,837
RR-0009-2026-09-03,RR-0009,2026-09-03,180,14220,12,900
RR-0010-2026-08-05,RR-0010,2026-08-05,173,12283,18,865
RR-0010-2026-08-06,RR-0010,2026-08-06,209,5225,21,1463
RR-0010-2026-08-07,RR-0010,2026-08-07,137,4795,14,1096
RR-0010-2026-08-08,RR-0010,2026-08-08,169,9633,14,1352
RR-0010-2026-08-09,RR-0010,2026-08-09,143,8580,0,715
RR-0010-2026-08-10,RR-0010,2026-08-10,149,10132,12,596
RR-0010-2026-08-11,RR-0010,2026-08-11,170,5270,21,340
RR-0010-2026-08-12,RR-0010,2026-08-12,154,11088,8,1386
RR-0010-2026-08-13,RR-0010,2026-08-13,144,8784,2,432
RR-0010-2026-08-14,RR-0010,2026-08-14,89,2225,7,801
RR-0010-2026-08-15,RR-0010,2026-08-15,80,4880,0,800
RR-0010-2026-08-16,RR-0010,2026-08-16,36,2412,0,216
RR-0010-2026-08-17,RR-0010,2026-08-17,74,5254,8,740
RR-0010-2026-08-18,RR-0010,2026-08-18,45,3060,6,315
RR-0010-2026-08-19,RR-0010,2026-08-19,124,4836,3,992
RR-0010-2026-08-20,RR-0010,2026-08-20,127,4572,13,508
RR-0010-2026-08-21,RR-0010,2026-08-21,5,130,3,45
RR-0010-2026-08-22,RR-0010,2026-08-22,97,5723,12,970
RR-0010-2026-08-23,RR-0010,2026-08-23,147,9996,21,1323
RR-0010-2026-08-24,RR-0010,2026-08-24,23,736,1,46
RR-0010-2026-08-25,RR-0010,2026-08-25,153,10710,19,459
RR-0010-2026-08-26,RR-0010,2026-08-26,84,2520,3,588
RR-0010-2026-08-27,RR-0010,2026-08-27,44,2552,4,176
RR-0010-2026-08-28,RR-0010,2026-08-28,88,4664,0,352
RR-0010-2026-08-29,RR-0010,2026-08-29,196,15680,13,588
RR-0010-2026-08-30,RR-0010,2026-08-30,156,4836,11,312
RR-0010-2026-08-31,RR-0010,2026-08-31,94,7520,1,470
RR-0010-2026-09-01,RR-0010,2026-09-01,56,4480,8,224
RR-0010-2026-09-02,RR-0010,2026-09-02,28,1932,2,84
RR-0010-2026-09-03,RR-0010,2026-09-03,201,10251,2,804
RR-0011-2026-08-05,RR-0011,2026-08-05,77,3850,7,462
RR-0011-2026-08-06,RR-0011,2026-08-06,81,2835,1,243
RR-0011-2026-08-07,RR-0011,2026-08-07,92,3036,3,460
RR-0011-2026-08-08,RR-0011,2026-08-08,63,4851,6,315
RR-0011-2026-08-09,RR-0011,2026-08-09,143,4719,3,286
RR-0011-2026-08-10,RR-0011,2026-08-10,184,7544,1,920
RR-0011-2026-08-11,RR-0011,2026-08-11,220,9460,25,1980
RR-0011-2026-08-12,RR-0011,2026-08-12,240,6720,2,1680
RR-0011-2026-08-13,RR-0011,2026-08-13,180,9900,24,900
RR-0011-2026-08-14,RR-0011,2026-08-14,223,8028,17,1338
RR-0011-2026-08-15,RR-0011,2026-08-15,118,5310,16,1062
RR-0011-2026-08-16,RR-0011,2026-08-16,81,5913,0,810
RR-0011-2026-08-17,RR-0011,2026-08-17,232,14848,20,1160
RR-0011-2026-08-18,RR-0011,2026-08-18,97,3007,9,970
RR-0011-2026-08-19,RR-0011,2026-08-19,220,8580,23,1760
RR-0011-2026-08-20,RR-0011,2026-08-20,56,1568,0,280
RR-0011-2026-08-21,RR-0011,2026-08-21,230,13340,8,2070
RR-0011-2026-08-22,RR-0011,2026-08-22,63,4221,8,504
RR-0011-2026-08-23,RR-0011,2026-08-23,73,4891,7,730
RR-0011-2026-08-24,RR-0011,2026-08-24,72,4824,6,648
RR-0011-2026-08-25,RR-0011,2026-08-25,45,3285,1,360
RR-0011-2026-08-26,RR-0011,2026-08-26,54,2970,6,324
RR-0011-2026-08-27,RR-0011,2026-08-27,54,3942,3,378
RR-0011-2026-08-28,RR-0011,2026-08-28,156,11700,9,1560
RR-0011-2026-08-29,RR-0011,2026-08-29,58,3422,7,348
RR-0011-2026-08-30,RR-0011,2026-08-30,149,8493,12,1043
RR-0011-2026-08-31,RR-0011,2026-08-31,106,2862,9,636
RR-0011-2026-09-01,RR-0011,2026-09-01,160,5920,2,1600
RR-0011-2026-09-02,RR-0011,2026-09-02,55,1375,4,110
RR-0011-2026-09-03,RR-0011,2026-09-03,107,3745,13,856
RR-0012-2026-08-05,RR-0012,2026-08-05,58,3248,4,174
RR-0012-2026-08-06,RR-0012,2026-08-06,63,1890,3,252
RR-0012-2026-08-07,RR-0012,2026-08-07,186,7998,11,1674
RR-0012-2026-08-08,RR-0012,2026-08-08,111,5439,10,333
RR-0012-2026-08-09,RR-0012,2026-08-09,197,6698,1,985
RR-0012-2026-08-10,RR-0012,2026-08-10,65,5200,0,325
RR-0012-2026-08-11,RR-0012,2026-08-11,85,4165,3,680
RR-0012-2026-08-12,RR-0012,2026-08-12,231,12243,12,693
RR-0012-2026-08-13,RR-0012,2026-08-13,164,9512,6,1312
RR-0012-2026-08-14,RR-0012,2026-08-14,113,7571,4,452
RR-0012-2026-08-15,RR-0012,2026-08-15,149,7897,6,298
RR-0012-2026-08-16,RR-0012,2026-08-16,47,2209,4,329
RR-0012-2026-08-17,RR-0012,2026-08-17,110,6600,5,770
RR-0012-2026-08-18,RR-0012,2026-08-18,31,2232,2,248
RR-0012-2026-08-19,RR-0012,2026-08-19,42,3066,1,126
RR-0012-2026-08-20,RR-0012,2026-08-20,109,7194,4,218
RR-0012-2026-08-21,RR-0012,2026-08-21,47,1598,1,329
RR-0012-2026-08-22,RR-0012,2026-08-22,21,1113,1,84
RR-0012-2026-08-23,RR-0012,2026-08-23,42,1512,5,84
RR-0012-2026-08-24,RR-0012,2026-08-24,91,5824,4,546
RR-0012-2026-08-25,RR-0012,2026-08-25,103,5871,14,618
RR-0012-2026-08-26,RR-0012,2026-08-26,171,13167,4,684
RR-0012-2026-08-27,RR-0012,2026-08-27,85,4760,1,595
RR-0012-2026-08-28,RR-0012,2026-08-28,168,12600,8,840
RR-0012-2026-08-29,RR-0012,2026-08-29,5,345,0,35
RR-0012-2026-08-30,RR-0012,2026-08-30,168,13104,13,504
RR-0012-2026-08-31,RR-0012,2026-08-31,12,732,3,60
RR-0012-2026-09-01,RR-0012,2026-09-01,141,11280,0,1128
RR-0012-2026-09-02,RR-0012,2026-09-02,157,11304,14,1099
RR-0012-2026-09-03,RR-0012,2026-09-03,170,12070,24,510
RR-0013-2026-08-05,RR-0013,2026-08-05,69,2208,1,207
RR-0013-2026-08-06,RR-0013,2026-08-06,142,8804,2,426
RR-0013-2026-08-07,RR-0013,2026-08-07,71,4686,0,142
RR-0013-2026-08-08,RR-0013,2026-08-08,238,6902,16,714
RR-0013-2026-08-09,RR-0013,2026-08-09,68,5372,4,204
RR-0013-2026-08-10,RR-0013,2026-08-10,37,1406,4,296
RR-0013-2026-08-11,RR-0013,2026-08-11,198,12474,5,990
RR-0013-2026-08-12,RR-0013,2026-08-12,121,7381,14,484
RR-0013-2026-08-13,RR-0013,2026-08-13,62,4092,3,558
RR-0013-2026-08-14,RR-0013,2026-08-14,101,5959,10,606
RR-0013-2026-08-15,RR-0013,2026-08-15,170,11900,15,850
RR-0013-2026-08-16,RR-0013,2026-08-16,163,10269,6,1467
RR-0013-2026-08-17,RR-0013,2026-08-17,164,12628,2,984
RR-0013-2026-08-18,RR-0013,2026-08-18,201,9246,13,1206
RR-0013-2026-08-19,RR-0013,2026-08-19,115,5405,0,460
RR-0013-2026-08-20,RR-0013,2026-08-20,58,4466,3,232
RR-0013-2026-08-21,RR-0013,2026-08-21,46,1840,4,460
RR-0013-2026-08-22,RR-0013,2026-08-22,61,2562,4,244
RR-0013-2026-08-23,RR-0013,2026-08-23,35,2450,4,175
RR-0013-2026-08-24,RR-0013,2026-08-24,42,2184,6,378
RR-0013-2026-08-25,RR-0013,2026-08-25,175,13300,15,1400
RR-0013-2026-08-26,RR-0013,2026-08-26,211,10550,11,1266
RR-0013-2026-08-27,RR-0013,2026-08-27,117,8307,0,819
RR-0013-2026-08-28,RR-0013,2026-08-28,11,704,1,55
RR-0013-2026-08-29,RR-0013,2026-08-29,5,355,3,20
RR-0013-2026-08-30,RR-0013,2026-08-30,174,13050,9,522
RR-0013-2026-08-31,RR-0013,2026-08-31,173,10899,16,1730
RR-0013-2026-09-01,RR-0013,2026-09-01,57,1824,3,114
RR-0013-2026-09-02,RR-0013,2026-09-02,95,4370,5,380
RR-0013-2026-09-03,RR-0013,2026-09-03,45,3420,4,405
RR-0014-2026-08-05,RR-0014,2026-08-05,168,10920,6,1176
RR-0014-2026-08-06,RR-0014,2026-08-06,256,16896,26,1280
RR-0014-2026-08-07,RR-0014,2026-08-07,156,10140,11,312
